# AKTEMP | Alaska Stream Temperature Database
# https://aktemp.uaa.alaska.edu
#
# File Type: Continuous Timeseries Daily Values and Discrete Values
# Created: 10/28/2024 11:40 AM AKDT
#
# Suggested Citation (note: open this file in a text editor like Notepad if Excel does not display the citation correctly):
#   "Alaska Water Temperature Database (AKTEMP) (2024). Water temperature data collected by USFWS - Alaska Region Office of Subsistence Management. Retrieved from https://aktemp.uaa.alaska.edu on Oct 28, 2024."
#
# ------------------------------------------------------------------------------
# Providers Table
#
provider_code,provider_name
USFWS_AlaskaOSM,USFWS - Alaska Region Office of Subsistence Management
#
# ------------------------------------------------------------------------------
# Stations Table
#
#     station_id: Station ID
#     provider_code: Provider Code
#     code: Station Code
#     latitude: Latitude (WGS84)
#     longitude: Longitude (WGS84)
#     timezone: Local timezone
#     description: Station Description
#     waterbody_name: Waterbody name
#     waterbody_type: Waterbody type
#     placement: Placement
#     mixed: Fully mixed
#     active: Active station
#     reference: Reference URL
#     private: Private
#     series_count: Number of timeseries
#     series_start_datetime: First timeseries timestamp (local timezone)
#     series_end_datetime: Last timeseries timestamp (local timezone)
#     series_count_days: Number of days between first and last timeseries dates
#     profiles_count: Number of vertical profiles
#     profiles_start_date: First date of vertical profiles (local timezone)
#     profiles_end_date: Last date of vertical profiles (local timezone)
#
station_id,provider_code,code,latitude,longitude,timezone,description,waterbody_name,waterbody_type,placement,mixed,active,reference,private,series_count,series_start_datetime,series_end_datetime,series_count_days,profiles_count,profiles_start_date,profiles_end_date
317,USFWS_AlaskaOSM,OSM_Neva,58.40639,-135.41156,US/Alaska,Lake outlet stream,Neva Creek,STREAM,OUTLET,true,false,,false,1,7/24/2008 16:00,9/30/2019 11:00,4085,0,,
#
# ------------------------------------------------------------------------------
# Timeseries Metadata
#
#     series_id: Timeseries ID
#     provider_code: Provider Code
#     station_id: Station ID
#     station_code: Station Code
#     station_timezone: Station Timezone
#     start_datetime: Start Timestamp (local timezone)
#     end_datetime: End Timestamp (local timezone)
#     interval: Interval (Continuous or Discrete)
#     frequency: Frequency (minutes)
#     depth_category: Depth category
#     depth_m: Depth (m)
#     sop_bath: Sensor checked using Pre/Post Bath according to SOP
#     accuracy: Sensor Accuracy Level (1: < 0.25 degC (best); 2: < 0.5 degC; 3: > 0.5 degC (worst))
#     reviewed: QAQC Review Complete
#
series_id,provider_code,station_id,station_code,station_timezone,start_datetime,end_datetime,interval,frequency,depth_category,depth_m,sop_bath,accuracy,reviewed
324,USFWS_AlaskaOSM,317,OSM_Neva,US/Alaska,7/24/2008 16:00,9/30/2019 11:00,CONTINUOUS,60,,,true,1,true
#
# ------------------------------------------------------------------------------
# Continuous Timeseries Daily Values
#
#     This table contains daily statistics (min/mean/max) of observed water temperature
#     for each continuous timeseries. QAQC flags are also aggregated to daily timesteps.
#     If one or more measurements during a single day were flagged then that flag is
#     assigned to the entire day. If more than one type of flag occurred in a single day
#     then the unique flag labels are combined into a comma-separated list.
#
#     series_id: Series ID
#     date: Date (local timezone)
#     n_values: Number of measurements
#     min_temp_c: Minimum temperature (degC)
#     mean_temp_c: Mean temperature (degC)
#     max_temp_c: Maximum temperature (degC)
#     flag: QAQC flag(s)
#
series_id,date,n_values,min_temp_c,mean_temp_c,max_temp_c,flag
324,2016-10-10,24,8.52,8.6575,8.87,
324,2016-10-11,24,8.27,8.433333,8.64,
324,2016-10-12,24,8.07,8.24875,8.44,
324,2016-10-13,24,7.85,8.085417,8.34,
324,2016-10-14,24,7.65,7.8366666,8,
324,2016-10-15,24,7.14,7.6916666,7.8,
324,2016-10-16,24,6.94,7.2266665,7.34,
324,2016-10-17,24,7.19,7.3366666,7.49,
324,2016-10-18,24,7.39,7.4441667,7.47,
324,2016-10-19,24,7.32,7.3733335,7.44,
324,2016-10-20,24,7.29,7.375,7.49,
324,2016-10-21,24,7.27,7.340833,7.39,
324,2016-10-22,24,7.19,7.258333,7.32,
324,2016-10-23,24,6.94,7.065,7.17,
324,2016-10-24,24,6.81,6.9783335,7.09,
324,2016-10-25,24,6.74,6.7975,6.91,
324,2016-10-26,24,6.54,6.6495833,6.79,
324,2016-10-27,24,6.43,6.55625,6.69,
324,2016-10-28,24,6.38,6.5241666,6.64,
324,2016-10-29,24,6.48,6.5783334,6.69,
324,2016-10-30,24,6.28,6.454167,6.59,
324,2016-10-31,24,6.1,6.205,6.28,
324,2016-11-01,24,6.13,6.2545834,6.38,
324,2016-11-02,24,6.18,6.2854166,6.36,
324,2016-11-03,24,6.2,6.3108335,6.43,
324,2016-11-04,24,6.05,6.1379166,6.18,
324,2016-11-05,24,5.98,6.1716666,6.31,
324,2016-11-06,25,5.95,6.0336,6.13,
324,2016-11-07,24,6.05,6.08125,6.15,
324,2016-11-08,24,6.08,6.1104164,6.18,
324,2016-11-09,24,6.08,6.1266665,6.2,
324,2016-11-10,24,6.08,6.148333,6.23,
324,2016-11-11,24,6.1,6.14125,6.2,
324,2016-11-12,24,6.1,6.1241665,6.15,
324,2016-11-13,24,6.08,6.133333,6.18,
324,2016-11-14,24,6.03,6.0545835,6.1,
324,2016-11-15,24,5.75,5.9445834,6.05,
324,2016-11-16,24,5.54,5.647917,5.77,
324,2016-11-17,24,5.21,5.385,5.51,
324,2016-11-18,24,4.95,5.085417,5.21,
324,2016-11-19,24,4.51,4.7716665,4.97,
324,2016-11-20,24,4.25,4.40875,4.53,
324,2016-11-21,24,4.09,4.1795835,4.27,
324,2016-11-22,24,4.06,4.14875,4.27,
324,2016-11-23,24,3.99,4.065,4.17,
324,2016-11-24,24,3.99,4.0575,4.12,
324,2016-11-25,24,4.06,4.116667,4.17,
324,2016-11-26,24,4.09,4.1125,4.17,
324,2016-11-27,24,3.83,3.97375,4.09,
324,2016-11-28,24,3.78,3.8220832,3.91,
324,2016-11-29,24,3.83,3.93125,4.01,
324,2016-11-30,24,3.72,3.8020833,3.93,
324,2016-12-01,24,3.8,3.8141665,3.85,
324,2016-12-02,24,3.83,3.8366666,3.88,
324,2016-12-03,24,3.56,3.7725,3.85,
324,2016-12-04,24,2.32,3.05375,3.62,
324,2016-12-05,24,1.72,2.4308333,3.09,
324,2016-12-06,24,2.29,2.6020834,2.93,
324,2016-12-07,24,1.56,2.0275,2.96,
324,2016-12-08,24,1.78,1.9516666,2.1,
324,2016-12-09,24,1.78,1.8658333,1.99,
324,2016-12-10,24,1.56,1.7133334,1.83,
324,2016-12-11,24,1.56,1.6479167,1.78,
324,2016-12-12,24,1.59,1.6345834,1.72,
324,2016-12-13,24,1.59,1.6291666,1.67,
324,2016-12-14,24,1.59,1.63125,1.67,
324,2016-12-15,24,1.59,1.6354166,1.7,
324,2016-12-16,24,1.59,1.6320833,1.67,
324,2016-12-17,24,1.56,1.6295834,1.7,
324,2016-12-18,24,1.56,1.6558334,1.72,
324,2016-12-19,24,1.53,1.6354166,1.86,
324,2016-12-20,24,1.48,1.6795833,1.83,
324,2016-12-21,24,1.34,1.50125,1.72,
324,2016-12-22,24,1.45,1.56,1.67,
324,2016-12-23,24,1.53,1.7854166,1.91,
324,2016-12-24,24,1.67,1.7320833,1.86,
324,2016-12-25,24,1.59,1.6770834,1.75,
324,2016-12-26,24,1.53,1.6175,1.7,
324,2016-12-27,24,1.45,1.5491667,1.62,
324,2016-12-28,24,1.48,1.5975,1.7,
324,2016-12-29,24,1.4,1.5387499,1.62,
324,2016-12-30,24,1.21,1.5991666,1.72,
324,2016-12-31,24,1.34,1.56125,1.7,
324,2017-01-01,24,1.43,1.4883333,1.53,
324,2017-01-02,24,1.34,1.47,1.53,
324,2017-01-03,24,1.4,1.4745834,1.53,
324,2017-01-04,24,1.43,1.4883333,1.53,
324,2017-01-05,24,1.4,1.4908333,1.56,
324,2017-01-06,24,1.13,1.4654167,1.62,
324,2017-01-07,24,1.24,1.39625,1.56,
324,2017-01-08,24,1.4,1.6404166,1.86,
324,2017-01-09,24,1.51,1.6833333,1.81,
324,2017-01-10,24,1.72,1.9095833,2.05,
324,2017-01-11,24,2.02,2.20375,2.48,
324,2017-01-12,24,2.16,2.4191666,2.56,
324,2017-01-13,24,2.05,2.27375,2.53,
324,2017-01-14,24,1.24,1.8058333,2.58,
324,2017-01-15,24,1.34,1.69625,1.94,
324,2017-01-16,24,1.67,1.9695834,2.34,
324,2017-01-17,24,1.78,1.9558333,2.13,
324,2017-01-18,24,1.86,1.96375,2.1,
324,2017-01-19,24,1.59,1.705,1.78,
324,2017-01-20,24,1.56,1.6687499,1.78,
324,2017-01-21,24,1.51,1.5566666,1.62,
324,2017-01-22,24,1.48,1.5025,1.53,
324,2017-01-23,24,1.4,1.4541667,1.51,
324,2017-01-24,24,1.43,1.4833333,1.56,
324,2017-01-25,24,1.48,1.6445833,1.86,
324,2017-01-26,24,1.34,1.7616667,2.24,
324,2017-01-27,24,1.4,1.7770833,2.26,
324,2017-01-28,24,1.62,1.9125,2.21,
324,2017-01-29,24,1.48,1.8358333,2.18,
324,2017-01-30,24,1.32,1.7062501,1.99,
324,2017-01-31,24,1.21,1.61,1.83,
324,2017-02-01,24,1.37,1.8554167,1.99,
324,2017-02-02,24,1.62,1.8070834,1.94,
324,2017-02-03,24,1.64,1.7604166,1.83,
324,2017-02-04,24,1.45,1.725,1.83,
324,2017-02-05,24,1.53,1.8108333,1.97,
324,2017-02-06,24,1.62,1.8083334,1.94,
324,2017-02-07,24,1.81,1.93875,2.07,
324,2017-02-08,24,1.78,1.9,2.02,
324,2017-02-09,24,1.72,1.8741667,1.97,
324,2017-02-10,24,1.43,1.7308333,1.83,
324,2017-02-11,24,1.48,1.6291666,1.91,
324,2017-02-12,24,0.96,1.3933333,1.89,
324,2017-02-13,24,1.29,1.6425,1.89,
324,2017-02-14,24,1.56,1.8404167,2.16,
324,2017-02-15,24,1.75,1.9404167,2.13,
324,2017-02-16,24,1.94,2.2120833,2.4,
324,2017-02-17,24,2.21,2.3495834,2.5,
324,2017-02-18,24,2.26,2.41875,2.61,
324,2017-02-19,24,2.05,2.26,2.53,
324,2017-02-20,24,1.97,2.2975,2.48,
324,2017-02-21,24,1.91,2.0854166,2.32,
324,2017-02-22,24,1.86,2.0904167,2.16,
324,2017-02-23,24,1.89,2.0325,2.1,
324,2017-02-24,24,1.89,1.96875,2.05,
324,2017-02-25,24,1.7,1.8558333,1.97,
324,2017-02-26,24,1.64,1.7241666,1.81,
324,2017-02-27,24,1.56,1.6595833,1.75,
324,2017-02-28,24,1.43,1.5583333,1.67,
324,2017-03-01,24,1.29,1.4920833,1.62,
324,2017-03-02,24,1.24,1.37,1.53,
324,2017-03-03,24,1.26,1.3454167,1.43,
324,2017-03-04,24,1.1,1.2445834,1.32,
324,2017-03-05,24,1.1,1.2104167,1.37,
324,2017-03-06,24,1.02,1.1083333,1.15,
324,2017-03-07,24,1.04,1.1308333,1.18,
324,2017-03-08,24,1.07,1.1333333,1.18,
324,2017-03-09,24,0.96,1.04875,1.1,
324,2017-03-10,24,0.91,1.0316666,1.1,
324,2017-03-11,24,0.96,1.05875,1.15,
324,2017-03-12,23,0.99,1.0956522,1.18,
324,2017-03-13,24,0.96,1.0287501,1.07,
324,2017-03-14,24,0.85,0.9916667,1.07,
324,2017-03-15,24,0.88,0.97625,1.04,
324,2017-03-16,24,0.96,1.01,1.07,
324,2017-03-17,24,0.88,0.96875,1.07,
324,2017-03-18,24,0.85,0.9091667,0.99,
324,2017-03-19,24,0.91,0.97583336,1.07,
324,2017-03-20,24,0.99,1.06375,1.18,
324,2017-03-21,24,0.91,1.00875,1.13,
324,2017-03-22,24,0.96,1.0408334,1.15,
324,2017-03-23,24,0.96,1.0883334,1.26,
324,2017-03-24,24,0.96,1.1025,1.29,
324,2017-03-25,24,1.07,1.1658334,1.32,
324,2017-03-26,24,1.07,1.1916667,1.32,
324,2017-03-27,24,1.13,1.2041667,1.34,
324,2017-03-28,24,1.1,1.2495834,1.4,
324,2017-03-29,24,1.21,1.3091667,1.45,
324,2017-03-30,24,1.21,1.34625,1.48,
324,2017-03-31,24,1.18,1.3858334,1.56,
324,2017-04-01,24,1.07,1.38125,1.53,
324,2017-04-02,24,1.1,1.52625,1.83,
324,2017-04-03,24,1.56,1.8908334,2.26,
324,2017-04-04,24,1.67,2.22375,2.64,
324,2017-04-05,24,1.94,2.4470832,2.82,
324,2017-04-06,24,1.56,2.6916666,3.49,
324,2017-04-07,24,1.81,3.0075,3.78,
324,2017-04-08,24,3.27,3.6341667,4.17,
324,2017-04-09,24,2.98,4.13125,5,
324,2017-04-10,24,3.3,4.6404166,5.41,
324,2017-04-11,24,4.66,5.221667,5.75,
324,2017-04-12,24,4.84,5.3175,5.95,
324,2017-04-13,24,4.66,5.0608335,5.44,
324,2017-04-14,24,4.38,5.3229165,7.17,
324,2017-04-15,24,4.4,5.29375,7.32,
324,2017-04-16,24,4.71,5.04375,5.33,
324,2017-04-17,24,4.61,5.502917,7.09,
324,2017-04-18,24,4.3,5.2258334,6.33,
324,2017-04-19,24,4.19,4.8025002,5.39,
324,2017-04-20,24,4.74,5.2679167,5.67,
324,2017-04-21,24,5.57,6.113333,6.79,
324,2017-04-22,24,5.69,6.8825,8.69,
324,2017-04-23,24,6.41,7.43875,9.11,
324,2017-04-24,24,6.99,7.8083334,8.84,
324,2017-04-25,24,7.75,8.520833,9.88,
324,2017-04-26,24,7.92,8.6362505,9.24,
324,2017-04-27,24,7.85,8.545417,9.34,
324,2017-04-28,24,7.72,8.099167,8.39,
324,2017-04-29,24,7.62,8.516666,9.51,
324,2017-04-30,24,8.42,8.896667,9.31,
324,2017-05-01,24,8.42,8.83,9.34,
324,2017-05-02,24,7.14,8.510833,9.04,
324,2017-05-03,24,7.77,8.17375,8.44,
324,2017-05-04,24,8,8.897917,10.08,
324,2017-05-05,24,8.62,9.130834,9.56,
324,2017-05-06,24,8.74,9.6725,11.59,
324,2017-05-07,24,9.14,9.400416,9.68,
324,2017-05-08,24,8.94,9.23125,9.63,
324,2017-05-09,24,9.31,9.894584,10.71,
324,2017-05-10,24,9.44,10.364166,11.22,
324,2017-05-11,24,10.52,12.04125,14.12,
324,2017-05-12,24,11.15,11.961666,13.09,
324,2017-05-13,24,11.15,11.454166,11.86,
324,2017-05-14,24,10.71,10.927917,11.1,
324,2017-05-15,24,10.37,11.405,12.49,
324,2017-05-16,24,11.49,12.689167,14.39,
324,2017-05-17,24,12.17,12.96375,14.24,
324,2017-05-18,24,12.12,12.745833,13.57,
324,2017-05-19,24,12.32,12.539166,12.75,
324,2017-05-20,24,11.47,12.097083,12.53,
324,2017-05-21,24,10.88,11.660833,12.12,
324,2017-05-22,24,11.22,11.5225,11.95,
324,2017-05-23,24,11.22,11.971666,13.38,
324,2017-05-24,24,11.39,11.743333,12.68,
324,2017-05-25,24,10.88,11.09375,11.37,
324,2017-05-26,24,10.66,11.055417,11.61,
324,2017-05-27,24,10.83,11.671667,12.75,
324,2017-05-28,24,11.59,12.34875,13.52,
324,2017-05-29,24,12.29,12.57375,13.02,
324,2017-05-30,24,12.03,12.814583,13.43,
324,2017-05-31,24,12.85,13.3875,14.29,
324,2017-06-01,24,13.26,13.604584,14.03,
324,2017-06-02,24,13.09,13.760833,14.24,
324,2017-06-03,24,13.55,14.079166,14.96,
324,2017-06-04,24,13.04,13.43875,13.74,
324,2017-06-05,24,12.29,12.902083,13.43,
324,2017-06-06,24,12.36,12.977917,14.29,
324,2017-06-07,24,12.97,13.707084,14.84,
324,2017-06-08,24,13.83,14.354166,15.15,
324,2017-06-09,24,13.52,13.755834,14.67,
324,2017-06-10,24,13.02,13.281667,13.52,
324,2017-06-11,24,12.7,12.845833,12.97,
324,2017-06-12,24,12.53,12.646667,12.75,
324,2017-06-13,24,12.39,12.637917,13.06,
324,2017-06-14,24,12.39,12.940416,13.79,
324,2017-06-15,24,12.87,13.074583,13.38,
324,2017-06-16,24,12.34,12.635417,12.9,
324,2017-06-17,24,12.03,12.132916,12.34,
324,2017-06-18,24,11.88,12.285833,13.02,
324,2017-06-19,24,12.44,12.790417,13.31,
324,2017-06-20,24,12.63,13.1241665,14.05,
324,2017-06-21,24,12.92,13.22625,13.47,
324,2017-06-22,24,13.02,13.59875,14.34,
324,2017-06-23,24,13.28,14.388333,15.84,
324,2017-06-24,24,14.24,14.602083,15.37,
324,2017-06-25,24,14.24,14.54375,15.03,
324,2017-06-26,24,14,14.351666,14.72,
324,2017-06-27,24,13.43,13.654583,13.98,
324,2017-06-28,24,13.23,13.805417,14.75,
324,2017-06-29,24,13.86,14.239583,14.7,
324,2017-06-30,24,14.07,14.1925,14.36,
324,2017-07-01,24,13.95,14.05625,14.22,
324,2017-07-02,24,13.88,14.525416,15.39,
324,2017-07-03,24,14.15,14.644167,15.29,
324,2017-07-04,24,14.15,14.524167,15.01,
324,2017-07-05,24,14,14.863334,16.13,
